"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"COFFEE 1.1","EN_NPi2020_400f","Other countries of Asia","Secondary Energy|Electricity","EJ/yr","",3.231140807560608,3.928858503448608,3.914069204917727,3.136386966711119,3.270314223792288,3.15715645284768,3.440397341138544,4.1080755068244,5.39328972443472,"",9.089718295111345,"",12.66498490805683,"",17.71512312596098,"",22.97154466279541,"",23.50103156544039
"COFFEE 1.1","EN_NPi2020_400f","Other countries of Asia","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",721.0152410000001,1141.689127,859.6619275,456.921555,179.928282,69.375593,16.128642,-18.890302,-18.890302,"",-18.890302,"",0,"",0,"",0,"",0
"COFFEE 1.1","EN_NPi2020_400f","Countries of Sub-Saharan Africa","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,0,0,42.55795,42.55795,"",42.55795,"",0,"",0,"",0,"",0
"COFFEE 1.1","EN_NPi2020_400f","Countries of Sub-Saharan Africa","Secondary Energy|Electricity","EJ/yr","",3.1494909352332963,3.12966561703752,3.162124755669744,2.011032292474512,1.747016799774768,2.165247942722352,3.193741568246544,5.121133556541264,9.77967143930736,"",20.76432477750461,"",30.23004250692648,"",36.680554474262216,"",42.83090590321051,"",46.68725464506317
"COFFEE 1.1","EN_NPi2020_400f","Countries of Sub-Saharan Africa","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",742.045648,685.45658,494.1971319999999,255.692602,71.392876,59.603201,48.975448,-42.55795,-42.55795,"",-42.55795,"",0,"",0,"",0,"",0
"COFFEE 1.1","EN_NPi2020_400f","Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0
"COFFEE 1.1","EN_NPi2020_400f","Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.","Secondary Energy|Electricity","EJ/yr","",2.852612687882448,3.029332418584848,3.3659521009992,3.75351771310704,3.873879433169856,3.99034516797792,4.96240732233648,5.963269580034336,9.949969140464304,"",19.12224381239895,"",28.87946259659697,"",32.86677989494872,"",35.53353946771085,"",37.71827354210875
"COFFEE 1.1","EN_NPi2020_400f","Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",584.427981,167.3549909999996,278.2294709999998,365.673916,318.1825128,180.884777,181.837983,14.978438,18.438989,"",40.972425,"",62.58966,"",70.560008,"",70.560008,"",70.560008
"COFFEE 1.1","EN_NPi2020_400f","Countries of Latin America and the Caribbean","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,0,116.100009,289.85373400000003,321.67352,"",427.543191,"",285.389395,"",88.787813,"",25.367945,"",10.147177
"COFFEE 1.1","EN_NPi2020_400f","Countries of Latin America and the Caribbean","Secondary Energy|Electricity","EJ/yr","",4.765121072360352,5.184584001880992,5.564808775357056,6.128599023844127,5.9258479855752,6.551378467331615,7.751271519720001,9.97152162814224,11.89114903491192,"",15.807930818771954,"",19.151867460434254,"",24.24884892381792,"",25.19772190227849,"",26.446419211969868
"COFFEE 1.1","EN_NPi2020_400f","Countries of Latin America and the Caribbean","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",558.360086,722.7462620000001,431.5260095,266.804193,87.470677,7.40621,-113.830893,-287.584618,-320.721066,"",-418.772029,"",-281.491102,"",-80.381787,"",-14.560484999999998,"",9.552791
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0.3898,1.881,5.0685,9.9721,15.7009,20.6107,23.04,22.9821,"",20.1377,"",20.8413,"",24.3629,"",25.9133
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Secondary Energy|Electricity","EJ/yr",15.8713,16.3571,16.0865,16.5192,16.6188,18.7667,22.4153,26.4806,30.6604,35.0543,39.6273,44.4084,"",57.5173,"",70.0984,"",81.7472,"",89.7258
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2524.3141,2363.174,1973.8086,1858.4683,1026.4302,412.4735,130.6366,75.0447,52.3547,22.7779,-3.3512,-22.7516,"",-20.0812,"",-20.8157,"",-24.3363,"",-25.8902
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0.0021,1.0159,10.2379,19.7997,29.0533,38.0398,45.4969,49.3064,49.8948,"",47.0758,"",44.8439,"",49.5061,"",50.2132
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Secondary Energy|Electricity","EJ/yr",12.2738,12.6883,11.6768,12.2924,12.9035,15.0829,17.7759,20.9903,24.1137,26.2212,27.6593,28.5359,"",32.0443,"",37.8156,"",43.4063,"",47.6
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",1216.7937,1114.7035,905.546,798.9468,416.4884,179.5439,55.1296,52.3635,51.718,45.6734,35.7469,20.5823,"",-13.8646,"",-44.013,"",-49.4645,"",-50.1915
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Pacific OECD","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0,1.0802,3.7789,6.9285,9.6392,11.6419,12.787,13.0563,"",12.1333,"",10.3004,"",9.9626,"",11.1766
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Pacific OECD","Secondary Energy|Electricity","EJ/yr",4.0343,4.0666,3.9235,3.7352,3.47,3.5187,3.6861,4.1237,4.6235,5.0207,5.2303,5.2354,"",5.3136,"",5.1872,"",5.0089,"",5.1854
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Pacific OECD","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",478.9125,567.9691,547.7668,432.5458,268.0086,143.9182,43.1033,11.4278,7.3392,2.3596,-3.3325,-8.6642,"",-12.0249,"",-10.2761,"",-9.9357,"",-11.1533
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0,1.0843,5.5871,15.846,32.106,50.6507,65.3855,73.932,"",78.064,"",68.9981,"",53.7304,"",42.4821
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Secondary Energy|Electricity","EJ/yr",4.7497,5.1301,5.3908,5.8132,5.8583,6.434,7.2418,8.6053,10.3903,11.6654,12.5039,13.0198,"",17.3078,"",31.0335,"",62.8334,"",96.7581
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",416.8643,469.4643,504.2438,553.1541,449.2378,302.0429,137.2154,21.5314,-3.5661,-24.9974,-44.5047,-60.5415,"",-77.7863,"",-68.9698,"",-53.6987,"",-42.4549
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of centrally-planned Asia; primarily China","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0.2862,2.471,7.7855,18.6944,36.3801,58.3526,79.0809,96.0277,"",118.0206,"",122.0307,"",109.1273,"",93.2856
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of centrally-planned Asia; primarily China","Secondary Energy|Electricity","EJ/yr",9.679,15.171,21.1605,26.8838,30.5378,37.0606,44.6632,47.9365,48.5006,49.8125,52.052,55.15,"",65.2489,"",68.8538,"",68.2297,"",70.9255
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of centrally-planned Asia; primarily China","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2330.1805,3292.8637,3965.5313,4318.6351,3043.4297,1132.3265,727.9249,722.4212,395.2692,179.1544,69.6981,22.4022,"",-63.173,"",-112.9264,"",-108.3915,"",-93.2582
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of South Asia; primarily India","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0,0,0.2627,1.3961,4.1311,9.0983,16.1009,23.7936,"",34.7765,"",38.2632,"",37.6212,"",38.7558
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of South Asia; primarily India","Secondary Energy|Electricity","EJ/yr",2.619,3.5883,4.9787,6.606,8.5502,12.8528,19.4507,27.2169,34.2241,40.8125,48.4175,56.5259,"",73.2371,"",86.4555,"",93.8249,"",103.1755
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of South Asia; primarily India","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",575.1016,737.1632,998.405,1270.3088,1110.7651,504.8384,85.3764,106.3179,114.2679,101.417,70.0327,24.3038,"",-34.6772,"",-38.2354,"",-37.5939,"",-38.7312
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Other countries of Asia","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0,0,1.5172,6.476,14.7846,24.3342,31.8762,35.7344,"",36.6046,"",33.1319,"",29.7577,"",34.6302
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Other countries of Asia","Secondary Energy|Electricity","EJ/yr",3.9848,5.0449,6.2407,7.5135,8.927,12.2475,16.9443,22.8829,30.1375,37.2313,44.2105,51.0116,"",65.4526,"",79.3807,"",91.5389,"",103.2878
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Other countries of Asia","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",564.9957,709.2407,881.2174,970.9372,684.6546,358.7894,163.7803,79.9674,86.37,83.6409,67.4264,42.5054,"",-6.6779,"",-32.8911,"",-29.7273,"",-34.6044
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of Sub-Saharan Africa","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0,0,0.278,1.1136,2.6247,5.077,8.3115,11.5687,"",16.663,"",21.6219,"",30.3753,"",40.7371
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of Sub-Saharan Africa","Secondary Energy|Electricity","EJ/yr",1.2718,1.3883,1.54,1.9973,2.9571,4.779,7.6933,11.9346,17.8301,25.0494,33.9259,44.3861,"",66.4286,"",92.77,"",124.5796,"",159.4389
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of Sub-Saharan Africa","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",240.9999,243.9705,232.8181,228.5622,160.026,71.9943,28.124,21.8402,29.4476,30.3905,20.7669,5.7911,"",-16.6009,"",-21.5994,"",-30.3528,"",-40.7164
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0.001,0.2007,1.8312,3.9421,6.2456,8.4694,10.6073,12.2296,12.7882,"",11.1376,"",8.1016,"",9.2012,"",11.655
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.","Secondary Energy|Electricity","EJ/yr",3.1975,4.3046,5.3114,6.292,7.1075,8.639,10.3177,13.8273,18.5149,23.229,28.1139,33.0593,"",45.244,"",60.1661,"",76.4934,"",92.869
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",570.5839,717.4661,817.822,872.0209,773.52,538.0037,181.5921,38.8579,34.607,20.105,1.6389,-12.6026,"",-11.1078,"",-8.0804,"",-9.1771,"",-11.6341
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of Latin America and the Caribbean","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0,0.2607,8.0183,19.51,36.14,55.5115,73.0828,84.994,90.0941,"",84.6818,"",67.5791,"",64.1575,"",70.5378
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of Latin America and the Caribbean","Secondary Energy|Electricity","EJ/yr",4.3695,5.1135,5.7907,6.5934,7.9111,10.3197,13.3311,16.7788,20.602,24.3997,28.1765,31.785,"",40.8891,"",53.8869,"",73.0052,"",93.3383
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Countries of Latin America and the Caribbean","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",296.2637,327.5736,337.8764,328.2542,218.183,73.7407,-8.9935,-16.5636,-25.2244,-32.6193,-35.896,-37.0084,"",-41.8761,"",-57.3216,"",-64.0817,"",-70.5062
